Wavelength [nm],Bare Silicon Wafer
300,0.16381
301,0.168167
302,0.170677
303,0.173425
304,0.176574
305,0.179157
306,0.18171
307,0.183556
308,0.18553
309,0.188124
310,0.190323
311,0.191258
312,0.193344
313,0.195456
314,0.196479
315,0.198307
316,0.199727
317,0.200586
318,0.202665
319,0.204042
320,0.202433
321,0.203536
322,0.204995
323,0.205586
324,0.206242
325,0.207076
326,0.208092
327,0.208708
328,0.209391
329,0.211558
330,0.211776
331,0.211713
332,0.212638
333,0.213006
334,0.212277
335,0.213729
336,0.213612
337,0.214115
338,0.214338
339,0.214385
340,0.214724
341,0.215458
342,0.215203
343,0.215878
344,0.215796
345,0.215859
346,0.215286
347,0.214459
348,0.214972
349,0.213811
350,0.213813
351,0.213088
352,0.212184
353,0.210202
354,0.208584
355,0.208955
356,0.206687
357,0.204427
358,0.202616
359,0.202046
360,0.199514
361,0.198428
362,0.198293
363,0.196157
364,0.196427
365,0.19572
366,0.196031
367,0.19617
368,0.197297
369,0.197359
370,0.198192
371,0.200926
372,0.203173
373,0.206909
374,0.207175
375,0.212081
376,0.214374
377,0.217957
378,0.221224
379,0.227277
380,0.229897
381,0.232874
382,0.235925
383,0.239205
384,0.241407
385,0.244666
386,0.247647
387,0.250149
388,0.252761
389,0.25544
390,0.257807
391,0.260502
392,0.262593
393,0.265199
394,0.267739
395,0.269693
396,0.272015
397,0.27419
398,0.276331
399,0.277974
400,0.279875
401,0.2815
402,0.283467
403,0.285667
404,0.287627
405,0.288903
406,0.290654
407,0.292111
408,0.293608
409,0.295583
410,0.297201
411,0.298574
412,0.300315
413,0.301338
414,0.303182
415,0.304471
416,0.305683
417,0.307191
418,0.30867
419,0.309592
420,0.31114
421,0.312576
422,0.313788
423,0.314768
424,0.316112
425,0.31748
426,0.319009
427,0.319987
428,0.321342
429,0.322447
430,0.323583
431,0.32458
432,0.325655
433,0.326978
434,0.328042
435,0.328807
436,0.330092
437,0.331086
438,0.332127
439,0.333126
440,0.333898
441,0.335005
442,0.336045
443,0.336976
444,0.338152
445,0.338932
446,0.339909
447,0.340634
448,0.341524
449,0.342158
450,0.343277
451,0.344468
452,0.34538
453,0.346153
454,0.346982
455,0.348204
456,0.348773
457,0.349604
458,0.350621
459,0.351578
460,0.352157
461,0.352959
462,0.353809
463,0.354625
464,0.355341
465,0.356069
466,0.35662
467,0.357105
468,0.357681
469,0.358619
470,0.359329
471,0.359886
472,0.360876
473,0.361504
474,0.361941
475,0.362549
476,0.363357
477,0.364166
478,0.364896
479,0.36537
480,0.36606
481,0.36666
482,0.367212
483,0.36797
484,0.368643
485,0.369349
486,0.369827
487,0.370347
488,0.371123
489,0.371837
490,0.372321
491,0.372952
492,0.373288
493,0.373681
494,0.374428
495,0.375253
496,0.375917
497,0.376545
498,0.377093
499,0.37764
500,0.378259
501,0.37864
502,0.379052
503,0.379761
504,0.380312
505,0.38058
506,0.380965
507,0.381459
508,0.382041
509,0.382511
510,0.382961
511,0.383485
512,0.383878
513,0.384486
514,0.38488
515,0.385297
516,0.385702
517,0.386186
518,0.386811
519,0.386936
520,0.387261
521,0.387944
522,0.38847
523,0.388737
524,0.389136
525,0.389621
526,0.389965
527,0.390489
528,0.390988
529,0.391298
530,0.391606
531,0.391805
532,0.392185
533,0.392688
534,0.393167
535,0.393551
536,0.393959
537,0.394372
538,0.394832
539,0.395193
540,0.395393
541,0.396025
542,0.396431
543,0.396572
544,0.397027
545,0.397312
546,0.397477
547,0.39809
548,0.398573
549,0.398962
550,0.399313
551,0.399598
552,0.399907
553,0.40026
554,0.400723
555,0.401273
556,0.401556
557,0.401997
558,0.402383
559,0.402538
560,0.402774
561,0.403047
562,0.403471
563,0.403972
564,0.404288
565,0.404673
566,0.404811
567,0.405211
568,0.405571
569,0.406045
570,0.406607
571,0.406522
572,0.407011
573,0.407207
574,0.407811
575,0.408168
576,0.408461
577,0.408644
578,0.408799
579,0.408933
580,0.409612
581,0.409333
582,0.409993
583,0.410574
584,0.410628
585,0.410593
586,0.410794
587,0.411362
588,0.411423
589,0.411924
590,0.412067
591,0.41243
592,0.412746
593,0.413141
594,0.413055
595,0.41327
596,0.413515
597,0.413923
598,0.41428
599,0.414534
600,0.41484
601,0.415121
602,0.415243
603,0.415272
604,0.415822
605,0.416236
606,0.416491
607,0.416821
608,0.416712
609,0.417306
610,0.417325
611,0.417557
612,0.417778
613,0.418105
614,0.41827
615,0.418162
616,0.418368
617,0.41916
618,0.419438
619,0.419551
620,0.419625
621,0.419741
622,0.419821
623,0.42052
624,0.420602
625,0.420797
626,0.421028
627,0.421429
628,0.421443
629,0.421526
630,0.421765
631,0.422239
632,0.42257
633,0.42257
634,0.422498
635,0.422901
636,0.42294
637,0.422991
638,0.423133
639,0.423386
640,0.423653
641,0.424041
642,0.424213
643,0.42434
644,0.425422
645,0.424577
646,0.425069
647,0.425431
648,0.425589
649,0.425614
650,0.425621
651,0.425663
652,0.426727
653,0.426779
654,0.426677
655,0.42692
656,0.427198
657,0.426789
658,0.427726
659,0.427748
660,0.427433
661,0.427737
662,0.428047
663,0.428575
664,0.427914
665,0.428182
666,0.428294
667,0.428633
668,0.428946
669,0.42923
670,0.429681
671,0.429686
672,0.430455
673,0.430438
674,0.429831
675,0.430491
676,0.430141
677,0.430813
678,0.430546
679,0.430037
680,0.43054
681,0.431516
682,0.431371
683,0.431936
684,0.431647
685,0.432073
686,0.431728
687,0.432381
688,0.432419
689,0.43232
690,0.432905
691,0.432665
692,0.433
693,0.433024
694,0.433128
695,0.43341
696,0.433237
697,0.433145
698,0.433858
699,0.433719
700,0.433821
701,0.434254
702,0.434226
703,0.434231
704,0.434124
705,0.435146
706,0.434796
707,0.435498
708,0.435484
709,0.435449
710,0.435444
711,0.435672
712,0.435493
713,0.436355
714,0.436069
715,0.436449
716,0.436475
