nm,Abs
300, 0.126
302, 0.121
304, 0.121
306, 0.115
308, 0.110
310, 0.099
312, 0.091
314, 0.083
316, 0.079
318, 0.077
320, 0.073
322, 0.073
324, 0.072
326, 0.068
328, 0.068
330, 0.066
332, 0.065
334, 0.064
336, 0.063
338, 0.064
340, 0.059
342, 0.061
344, 0.053
346, 0.049
348, 0.049
350, 0.040
352, 0.034
354, 0.030
356, 0.026
358, 0.026
360, 0.020
362, 0.022
364, 0.021
366, 0.018
368, 0.016
370, 0.016
372, 0.015
374, 0.017
376, 0.014
378, 0.015
380, 0.013
382, 0.015
384, 0.012
386, 0.012
388, 0.013
390, 0.013
392, 0.015
394, 0.010
396, 0.012
398, 0.013
400, 0.013
402, 0.016
404, 0.013
406, 0.012
408, 0.010
410, 0.013
412, 0.011
414, 0.011
416, 0.013
418, 0.016
420, 0.013
422, 0.013
424, 0.009
426, 0.008
428, 0.009
430, 0.008
432, 0.011
434, 0.013
436, 0.012
438, 0.015
440, 0.014
442, 0.015
444, 0.016
446, 0.015
448, 0.015
450, 0.016
452, 0.016
454, 0.017
456, 0.020
458, 0.021
460, 0.021
462, 0.022
464, 0.023
466, 0.027
468, 0.027
470, 0.029
472, 0.032
474, 0.035
476, 0.041
478, 0.045
480, 0.049
482, 0.059
484, 0.063
486, 0.064
488, 0.068
490, 0.076
492, 0.084
494, 0.093
496, 0.104
498, 0.117
500, 0.130
502, 0.146
504, 0.166
506, 0.184
508, 0.204
510, 0.223
512, 0.247
514, 0.264
516, 0.286
518, 0.300
520, 0.318
522, 0.334
524, 0.355
526, 0.381
528, 0.401
530, 0.421
532, 0.450
534, 0.487
536, 0.524
538, 0.569
540, 0.663
542, 0.709
544, 0.754
546, 0.802
548, 0.845
550, 0.883
552, 0.900
554, 0.900
556, 0.893
558, 0.866
560, 0.836
562, 0.793
564, 0.740
566, 0.682
568, 0.620
570, 0.541
572, 0.465
574, 0.400
576, 0.323
578, 0.263
580, 0.210
582, 0.161
584, 0.132
586, 0.102
588, 0.078
590, 0.061
592, 0.053
594, 0.041
596, 0.033
598, 0.027
600, 0.022
602, 0.017
604, 0.016
606, 0.012
608, 0.010
610, 0.008
612, 0.006
614, 0.007
616, 0.006
618, 0.007
620, 0.004
622, 0.006
624, 0.006
626, 0.004
628, 0.005
630, 0.003
632, 0.005
634, 0.005
636, 0.004
638, 0.003
640, 0.004
642, 0.001
644, 0.005
646, 0.002
648, 0.005
650, 0.003
652, 0.004
654, 0.003
656, 0.004
658, 0.007
660, 0.004
662, 0.000
664, -0.001
666, 0.003
668, 0.004
670, 0.004
672, 0.003
674, 0.002
676, 0.003
678, 0.003
680, 0.001
682, 0.003
684, 0.001
686, -0.001
688, 0.002
690, 0.003
692, 0.001
694, 0.003
696, 0.005
698, 0.004
700, -0.001
702, 0.000
704, 0.003
706, 0.008
708, 0.009
710, 0.004
712, 0.003
714, 0.002
716, -0.000
718, -0.000
720, -0.001
722, 0.000
724, 0.002
726, 0.003
728, 0.002
730, 0.002
732, 0.002
734, 0.000
736, 0.001
738, 0.003
740, 0.002
742, 0.000
744, -0.001
746, 0.000
748, 0.002
750, 0.001
752, 0.002
754, -0.000
756, 0.001
758, 0.002
760, 0.002
762, 0.002
764, 0.000
766, 0.000
768, -0.001
770, 0.000
772, -0.003
774, -0.000
776, 0.001
778, -0.001
780, -0.001
782, 0.001
784, -0.000
786, 0.001
788, -0.000
790, -0.001
792, 0.000
794, -0.001
796, 0.000
798, -0.000
800, -0.000
