name,cas,smiles
ethanol,64-17-5,CCO
acetone,67-64-1,CC(C)=O
acetic acid,64-19-7,CC(=O)O
ethyl acetate,141-78-6,CCOC(C)=O
benzene,71-43-2,c1ccccc1
toluene,108-88-3,Cc1ccccc1
phenol,108-95-2,Oc1ccccc1
benzoic acid,65-85-0,OC(=O)c1ccccc1
salicylic acid,69-72-7,OC(=O)c1ccccc1O
methyl salicylate,119-36-8,COC(=O)c1ccccc1O
aspirin,50-78-2,CC(=O)Oc1ccccc1C(=O)O
paracetamol,103-90-2,CC(=O)Nc1ccc(O)cc1
ibuprofen,15687-27-1,CC(C)Cc1ccc(cc1)C(C)C(=O)O
caffeine,58-08-2,Cn1cnc2c1c(=O)n(C)c(=O)n2C
nicotine,54-11-5,CN1CCC[C@H]1c1cccnc1
vanillin,121-33-5,COc1cc(C=O)ccc1O
citric acid,77-92-9,OC(=O)CC(O)(CC(=O)O)C(=O)O
glucose,50-99-7,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
