TITLE,Lysozyme
DATA TYPE,CD SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2019/03/26
TIME,22:58:39
SPECTROMETER/DATA SYSTEM,JASCO Corp., J-815, Rev. 1.00
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,CD [mdeg]
Y2UNITS,HT [V]
FIRSTX,  250.0000
LASTX,  195.0000
NPOINTS,      56
FIRSTY,     0.04522
MAXY,    24.79956
MINY,   -25.10844
XYDATA
Channel 1
,5.01,6.07,7.05,8.01,9.01,10.05,10.98,12.1,12.99,13.97,14.99,15.92,17.07,17.97,19.01,20.05,20.94,22,23,24.01,25.01,26.05,26.97,27.98,29.07,29.97,30.86,31.99,33.01,34,35.03,35.99,36.92,37.95,39.09,40.04,41.03,41.87,43.1,44.04,44.88,45.9,46.91,48.12,49.02,49.91,50.9,51.96,52.99,53.95,55.11,56,56.93,57.89,58.85,59.85,61.18,61.86,63.01,64.12,64.98,65.91,67,67.95,69.18,69.95,71.11,71.86,72.96,73.97,74.88,75.9,77.02,77.94,79.09,79.73,81.06,81.86,82.91,84.05,84.78,86.05,86.66,88.12,89.08,89.92,91.06,91.79,92.86,94.07,94.89
250,0.0452193,0.0472163,0.0744949,0.0738626,0.0616941,0.00202341,0.0290821,0.0722688,0.120051,0.0476006,0.052924,0.0218156,-0.0191881,-0.0159732,0.0533852,-0.0381312,0.0203807,-0.00301056,0.00041275,-0.0431352,-0.000428295,0.0365366,0.0539432,0.000415897,-0.0347899,-0.0495146,-0.0379621,0.00271206,-0.0483832,0.035794,-0.0801809,-0.0731929,-0.101624,-0.0682136,-0.099465,-0.0398164,-0.0786779,-0.111602,-0.0807688,-0.0713034,-0.0168051,-0.0566604,-0.107599,-0.106158,-0.158938,-0.0530295,-0.17542,-0.112247,-0.104763,-0.0731531,-0.101454,-0.058761,-0.0787351,-0.0866263,-0.112498,-0.141909,-0.175854,-0.115511,-0.126605,-0.124735,-0.127848,-0.131231,-0.139843,-0.0308262,-0.0527495,-0.0325093,0.0132379,0.0214867,0.0907133,0.10094,0.100863,0.101753,0.130006,0.107611,0.138431,0.0873746,0.0410137,0.069863,0.0678471,0.0677134,0.158195,0.0419751,0.0805512,0.0678929,0.116214,0.085672,0.0490695,0.0471447,0.0984304,0.0941431,0.0724588
249,-0.00373898,0.0441856,0.0112924,0.0392692,0.03193,-0.0711531,-0.0456015,0.025389,-0.000664043,-0.02354,0.0192368,-0.0199917,-0.062972,-0.0614656,0.0122656,-0.112369,-0.0570652,-0.0729552,-0.0771845,-0.0906954,-0.00875282,-0.0206627,-0.0485816,-0.0946182,-0.100397,-0.144559,-0.13092,-0.0590975,-0.0928005,-0.0187298,-0.133946,-0.0741649,-0.145271,-0.147405,-0.168794,-0.119647,-0.0977736,-0.133068,-0.128833,-0.103603,-0.0948687,-0.118006,-0.194229,-0.173274,-0.215459,-0.134592,-0.219918,-0.170428,-0.15893,-0.179005,-0.171888,-0.144729,-0.170845,-0.136039,-0.214709,-0.205001,-0.218495,-0.213983,-0.200394,-0.187324,-0.224279,-0.191833,-0.212197,-0.0954039,-0.0927744,-0.0836809,-0.0578933,-0.0305162,-0.0152868,-0.0191895,0.0297973,0.01969,0.00239058,0.0086524,0.0219259,0.0255264,-0.022185,0.0101861,-0.00598431,0.0450896,0.0749065,-0.0469557,0.00372705,-0.00714169,0.0502133,-0.00554876,-0.0553748,-0.0519655,0.0323815,0.0293373,-0.00972757
248,-0.0855318,0.0218746,-0.0692718,-0.0678978,-0.061097,-0.107066,-0.0947495,-0.0691236,-0.0913956,-0.0801423,-0.0244903,-0.101391,-0.110462,-0.0979259,-0.0556854,-0.19522,-0.137373,-0.175633,-0.137469,-0.1503,-0.060183,-0.114457,-0.133803,-0.157887,-0.206962,-0.220131,-0.173327,-0.143566,-0.19822,-0.127727,-0.20612,-0.137263,-0.243584,-0.22536,-0.220683,-0.172017,-0.139014,-0.213826,-0.234481,-0.21341,-0.202321,-0.186802,-0.253671,-0.23204,-0.298196,-0.191958,-0.250673,-0.244563,-0.232794,-0.248424,-0.271871,-0.225503,-0.23415,-0.209854,-0.319048,-0.279611,-0.257156,-0.311954,-0.280932,-0.267698,-0.331451,-0.282494,-0.30491,-0.176759,-0.167118,-0.167834,-0.121215,-0.120304,-0.0752966,-0.160852,-0.0911492,-0.075258,-0.118049,-0.0901259,-0.0641887,-0.0767284,-0.119414,-0.0838817,-0.0763413,-0.04543,-0.0789983,-0.0820196,-0.0759289,-0.082264,-0.0942513,-0.133191,-0.167049,-0.175365,-0.115066,-0.0619475,-0.140479
247,-0.166892,-0.0667364,-0.185491,-0.169554,-0.132929,-0.196745,-0.171067,-0.149897,-0.193083,-0.156207,-0.126676,-0.113667,-0.183771,-0.198529,-0.144177,-0.272828,-0.229119,-0.267143,-0.250782,-0.241578,-0.159882,-0.220052,-0.239064,-0.221064,-0.287183,-0.26447,-0.28824,-0.215131,-0.308857,-0.236927,-0.28435,-0.217041,-0.329253,-0.323919,-0.29288,-0.21828,-0.246736,-0.304909,-0.338923,-0.301916,-0.271198,-0.297549,-0.38148,-0.332746,-0.417458,-0.290669,-0.299378,-0.345542,-0.336311,-0.367824,-0.358744,-0.35245,-0.330172,-0.294835,-0.424508,-0.378449,-0.332325,-0.417988,-0.362157,-0.386053,-0.432232,-0.398124,-0.379701,-0.282721,-0.259883,-0.234109,-0.219718,-0.244261,-0.183464,-0.233241,-0.168975,-0.169713,-0.212073,-0.169417,-0.184851,-0.164392,-0.245294,-0.209007,-0.161559,-0.143913,-0.193196,-0.2254,-0.184953,-0.18892,-0.177441,-0.235574,-0.259484,-0.258682,-0.209785,-0.200491,-0.228471
246,-0.247629,-0.206735,-0.30868,-0.258933,-0.254712,-0.265635,-0.281055,-0.282568,-0.298838,-0.228658,-0.207528,-0.186227,-0.278777,-0.32989,-0.241067,-0.337847,-0.331433,-0.342442,-0.370819,-0.338513,-0.257585,-0.361576,-0.370997,-0.342322,-0.394187,-0.370391,-0.371953,-0.358343,-0.410101,-0.342696,-0.426929,-0.333117,-0.426745,-0.404934,-0.399905,-0.36211,-0.365133,-0.400075,-0.510266,-0.39493,-0.370271,-0.418594,-0.507956,-0.458822,-0.525107,-0.42967,-0.408012,-0.463482,-0.486882,-0.466983,-0.489872,-0.479071,-0.493936,-0.431834,-0.541992,-0.506581,-0.433967,-0.527948,-0.49823,-0.51134,-0.549223,-0.497793,-0.529835,-0.433548,-0.408388,-0.411737,-0.338808,-0.34636,-0.320113,-0.350872,-0.324802,-0.281051,-0.331601,-0.338114,-0.346463,-0.319381,-0.370851,-0.342161,-0.283205,-0.276575,-0.354166,-0.353207,-0.330382,-0.343769,-0.313603,-0.327227,-0.396743,-0.390405,-0.349854,-0.34479,-0.381262
245,-0.365568,-0.336709,-0.44083,-0.34192,-0.369885,-0.392301,-0.419902,-0.41399,-0.460792,-0.34699,-0.32067,-0.356561,-0.376169,-0.467697,-0.399381,-0.43872,-0.499205,-0.465415,-0.494931,-0.528883,-0.375203,-0.509688,-0.491291,-0.495428,-0.509154,-0.499295,-0.551222,-0.492667,-0.545662,-0.497567,-0.542757,-0.478485,-0.563437,-0.546394,-0.522985,-0.546332,-0.574877,-0.534227,-0.648009,-0.562513,-0.554945,-0.609391,-0.632746,-0.61502,-0.652457,-0.564843,-0.574433,-0.614717,-0.664272,-0.5845,-0.639876,-0.672609,-0.639938,-0.606419,-0.640204,-0.667541,-0.585092,-0.704166,-0.647195,-0.657342,-0.710619,-0.697805,-0.733536,-0.61284,-0.565195,-0.563978,-0.495757,-0.462038,-0.506739,-0.494627,-0.462205,-0.427637,-0.436379,-0.530469,-0.500287,-0.476213,-0.522176,-0.48461,-0.410086,-0.464324,-0.538015,-0.494534,-0.514335,-0.489542,-0.48801,-0.450862,-0.544152,-0.525629,-0.468401,-0.485109,-0.494993
244,-0.513938,-0.505926,-0.592161,-0.516416,-0.558744,-0.555116,-0.528941,-0.585724,-0.599116,-0.477382,-0.482157,-0.519762,-0.523144,-0.585031,-0.606551,-0.559875,-0.605961,-0.621564,-0.662491,-0.70587,-0.566951,-0.664884,-0.628615,-0.682678,-0.709346,-0.690815,-0.690471,-0.661393,-0.754306,-0.712602,-0.730639,-0.674254,-0.729887,-0.743755,-0.70533,-0.726836,-0.739312,-0.733078,-0.773713,-0.786911,-0.726065,-0.785043,-0.789203,-0.777937,-0.790672,-0.72131,-0.744443,-0.817291,-0.861962,-0.790552,-0.827916,-0.839401,-0.830442,-0.791427,-0.840323,-0.85342,-0.779027,-0.917679,-0.846225,-0.824643,-0.82929,-0.952853,-0.949896,-0.789377,-0.773723,-0.728055,-0.717221,-0.666806,-0.667232,-0.592687,-0.667462,-0.582716,-0.587536,-0.685764,-0.682609,-0.657811,-0.693239,-0.684016,-0.579027,-0.62482,-0.722028,-0.733825,-0.723044,-0.665534,-0.652669,-0.63759,-0.733856,-0.710155,-0.680733,-0.632836,-0.721734
243,-0.705332,-0.727804,-0.773649,-0.762973,-0.746672,-0.76553,-0.744334,-0.79958,-0.813695,-0.725941,-0.69298,-0.71004,-0.734754,-0.784676,-0.863836,-0.745988,-0.774311,-0.809105,-0.872921,-0.93058,-0.819727,-0.842921,-0.799516,-0.879216,-0.86193,-0.909319,-0.901016,-0.889827,-0.983262,-0.930129,-0.964173,-0.910837,-0.936213,-0.983103,-0.869807,-0.966701,-0.98858,-0.961114,-0.947927,-1.02741,-0.978644,-0.99696,-1.00624,-0.983029,-0.989219,-0.964286,-0.983865,-1.02253,-1.08421,-1.02478,-1.05241,-1.0682,-1.04341,-1.01808,-1.07725,-1.05972,-1.03131,-1.13572,-1.07783,-1.06846,-1.05158,-1.17724,-1.14796,-1.00394,-1.00944,-0.943948,-0.925363,-0.913722,-0.888578,-0.798341,-0.878221,-0.774758,-0.775481,-0.879641,-0.861991,-0.901368,-0.901531,-0.891217,-0.816207,-0.903649,-0.917033,-0.955095,-0.950505,-0.886958,-0.836772,-0.843222,-0.947488,-0.913406,-0.844431,-0.863665,-0.920184
242,-0.922345,-1.00473,-1.01543,-1.00577,-0.996334,-0.99595,-1.02069,-1.04197,-1.05514,-1.00879,-0.974222,-1.00629,-0.973306,-1.08151,-1.14289,-1.01926,-1.06391,-1.06906,-1.15856,-1.16711,-1.11647,-1.0986,-1.03699,-1.17489,-1.11789,-1.20721,-1.15698,-1.21923,-1.22675,-1.20589,-1.24638,-1.15964,-1.17852,-1.28169,-1.12726,-1.22784,-1.23666,-1.27064,-1.22019,-1.30077,-1.21893,-1.28953,-1.29033,-1.26815,-1.25022,-1.27455,-1.2469,-1.3088,-1.32677,-1.29964,-1.33936,-1.33086,-1.31088,-1.31712,-1.32203,-1.35141,-1.39335,-1.45085,-1.36303,-1.36847,-1.34338,-1.43349,-1.46204,-1.29752,-1.30515,-1.26488,-1.18187,-1.20118,-1.16509,-1.06758,-1.1643,-0.994886,-0.99808,-1.16533,-1.16516,-1.16325,-1.10807,-1.14255,-1.09949,-1.16724,-1.18845,-1.15962,-1.18506,-1.11351,-1.10688,-1.14903,-1.21589,-1.21039,-1.07182,-1.09543,-1.13753
