helical
nm,delta_epsilon
190,24.95
191,25.65
192,24.94
193,24.03
194,23.12
195,21.45
196,18.48
197,14.78
198,11.08
199,7.68
200,4.77
201,2.39
202,-0.0
203,-2.88
204,-5.85
205,-8.34
206,-9.88
207,-10.63
208,-10.87
209,-10.89
210,-10.81
211,-10.71
212,-10.54
213,-10.39
214,-10.34
215,-10.47
216,-10.73
217,-11.04
218,-11.33
219,-11.57
220,-11.77
221,-11.91
222,-11.91
223,-11.7
224,-11.31
225,-10.81
226,-10.23
227,-9.59
228,-8.89
229,-8.13
230,-7.3
231,-6.43
232,-5.53
233,-4.65
234,-3.8
235,-3.04
236,-2.37
237,-1.83
238,-1.43
239,-1.2
240,-1.09
241,-0.88
242,-0.71
243,-0.55
244,-0.42
245,-0.3
246,-0.2
247,-0.12
248,-0.05
249,0.0
250,0.0

beta
nm,delta_epsilon
190,7.47
191,8.44
192,9.55
193,10.34
194,10.66
195,10.64
196,10.41
197,10.01
198,9.45
199,8.79
200,8.1
201,7.39
202,6.44
203,5.06
204,3.45
205,1.9
206,0.62
207,-0.48
208,-1.57
209,-2.71
210,-3.6
211,-4.04
212,-4.44
213,-4.93
214,-5.47
215,-5.97
216,-6.19
217,-6.14
218,-5.92
219,-5.59
220,-5.24
221,-4.9
222,-4.6
223,-4.34
224,-4.08
225,-3.8
226,-3.49
227,-3.15
228,-2.8
229,-2.46
230,-2.13
231,-1.85
232,-1.6
233,-1.38
234,-1.2
235,-1.05
236,-0.89
237,-0.71
238,-0.47
239,-0.15
240,-0.13
241,-0.11
242,-0.1
243,-0.08
244,-0.08
245,-0.06
246,-0.03
247,-0.02
248,-0.01
249,-0.0
250,0.0

random
nm,delta_epsilon
190,-10.74
191,-11.57
192,-12.22
193,-12.78
194,-13.28
195,-13.67
196,-13.91
197,-13.98
198,-13.81
199,-13.27
200,-12.14
201,-10.38
202,-8.54
203,-7.12
204,-5.99
205,-4.84
206,-3.47
207,-2.12
208,-1.13
209,-0.72
210,-0.47
211,0.0
212,0.47
213,0.87
214,1.17
215,1.37
216,1.48
217,1.53
218,1.54
219,1.52
220,1.47
221,1.4
222,1.3
223,1.18
224,1.04
225,0.9
226,0.76
227,0.62
228,0.49
229,0.37
230,0.27
231,0.18
232,0.1
233,0.04
234,-0.0
235,-0.03
236,-0.04
237,-0.05
238,-0.05
239,-0.05
240,-0.05
241,-0.05
242,-0.05
243,-0.05
244,-0.05
245,-0.05
246,-0.05
247,-0.04
248,-0.03
249,-0.02
250,0.0
