Time (min);Value (µRIU)
0;-0,017166
0,001667;-0,017166
0,003333;-0,017166
0,005;-0,017166
0,006667;-0,014305
0,008333;-0,014305
0,01;-0,014305
0,011667;-0,014305
0,013333;-0,014305
0,015;-0,014305
0,016667;-0,014305
0,018333;-0,014305
0,02;-0,014305
0,021667;-0,014305
0,023333;-0,017166
0,025;-0,017166
0,026667;-0,017166
0,028333;-0,017166
0,03;-0,017166
0,031667;-0,017166
0,033333;-0,017166
0,035;-0,017166
0,036667;-0,017166
0,038333;-0,017166
0,04;-0,017166
0,041667;-0,017166
0,043333;-0,017166
0,045;-0,017166
0,046667;-0,017166
0,048333;-0,017166
0,05;-0,017166
0,051667;-0,017166
0,053333;-0,017166
0,055;-0,017166
0,056667;-0,017166
0,058333;-0,017166
0,06;-0,017166
0,061667;-0,017166
0,063333;-0,017166
0,065;-0,017166
0,066667;-0,017166
0,068333;-0,017166
0,07;-0,017166
0,071667;-0,017166
0,073333;-0,017166
0,075;-0,017166
0,076667;-0,017166
0,078333;-0,017166
0,08;-0,017166
0,081667;-0,017166
0,083333;-0,017166
0,085;-0,017166
0,086667;-0,017166
0,088333;-0,017166
0,09;-0,017166
0,091667;-0,017166
0,093333;-0,017166
0,095;-0,017166
0,096667;-0,017166
0,098333;-0,017166
0,1;-0,017166
0,101667;-0,017166
0,103333;-0,017166
0,105;-0,017166
0,106667;-0,017166
0,108333;-0,017166
0,11;-0,017166
0,111667;-0,017166
0,113333;-0,017166
0,115;-0,017166
0,116667;-0,017166
0,118333;-0,017166
0,12;-0,017166
0,121667;-0,017166
0,123333;-0,017166
0,125;-0,017166
0,126667;-0,017166
0,128333;-0,017166
0,13;-0,017166
0,131667;-0,017166
0,133333;-0,017166
0,135;-0,017166
0,136667;-0,017166
0,138333;-0,017166
0,14;-0,017166
0,141667;-0,017166
0,143333;-0,017166
0,145;-0,020027
0,146667;-0,020027
0,148333;-0,020027
0,15;-0,020027
0,151667;-0,020027
0,153333;-0,020027
