Time_in_hr,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F4,F5,F6,F7,F8
0.168055556,0.391,0.382,0.387,0.386,0.385,0.431,0.399,0.388,0.384,0.402,0.394,0.378,0.382,0.406,0.384,0.391,0.398,0.386,0.378,0.362,0.362,0.384,0.372,0.381,0.366,0.36,0.377,0.361,0.364,0.369,0.355,0.351,0.391,0.379,0.362,0.369,0.364,0.364,0.36
0.342777778,0.391,0.383,0.388,0.386,0.387,0.408,0.402,0.393,0.384,0.403,0.395,0.38,0.384,0.389,0.384,0.392,0.399,0.387,0.381,0.364,0.363,0.385,0.373,0.382,0.369,0.361,0.378,0.361,0.364,0.369,0.356,0.352,0.394,0.381,0.363,0.371,0.364,0.365,0.36
0.5175,0.392,0.383,0.388,0.387,0.387,0.408,0.404,0.396,0.386,0.403,0.395,0.38,0.386,0.369,0.385,0.392,0.397,0.386,0.382,0.366,0.364,0.385,0.373,0.382,0.371,0.362,0.379,0.362,0.364,0.367,0.355,0.352,0.395,0.383,0.363,0.371,0.364,0.365,0.361
0.692222222,0.391,0.383,0.389,0.387,0.387,0.408,0.405,0.396,0.386,0.403,0.395,0.379,0.387,0.357,0.385,0.392,0.398,0.386,0.384,0.363,0.363,0.385,0.372,0.382,0.372,0.362,0.38,0.362,0.364,0.368,0.355,0.352,0.396,0.385,0.363,0.37,0.365,0.365,0.361
0.866944444,0.392,0.384,0.391,0.387,0.388,0.408,0.406,0.397,0.388,0.404,0.395,0.38,0.389,0.36,0.385,0.393,0.398,0.387,0.386,0.364,0.364,0.385,0.373,0.382,0.373,0.364,0.381,0.362,0.365,0.368,0.357,0.352,0.397,0.386,0.364,0.372,0.365,0.365,0.362
1.041666667,0.392,0.384,0.391,0.387,0.388,0.408,0.406,0.397,0.389,0.404,0.395,0.379,0.39,0.361,0.384,0.393,0.398,0.387,0.388,0.364,0.365,0.386,0.373,0.382,0.375,0.365,0.38,0.362,0.366,0.368,0.356,0.353,0.396,0.387,0.364,0.372,0.365,0.365,0.362
1.216388889,0.392,0.383,0.39,0.387,0.389,0.408,0.405,0.397,0.387,0.403,0.395,0.378,0.39,0.36,0.385,0.392,0.397,0.387,0.388,0.364,0.365,0.385,0.373,0.382,0.374,0.364,0.38,0.362,0.365,0.368,0.356,0.352,0.397,0.387,0.364,0.372,0.365,0.365,0.362
1.391111111,0.394,0.384,0.392,0.388,0.391,0.409,0.406,0.398,0.39,0.406,0.396,0.38,0.391,0.362,0.386,0.393,0.398,0.387,0.39,0.365,0.366,0.386,0.374,0.383,0.376,0.366,0.381,0.363,0.366,0.37,0.357,0.353,0.398,0.389,0.365,0.373,0.366,0.366,0.363
1.565833333,0.394,0.384,0.392,0.388,0.391,0.41,0.406,0.398,0.39,0.405,0.397,0.381,0.391,0.362,0.386,0.394,0.398,0.387,0.39,0.366,0.366,0.386,0.373,0.382,0.375,0.366,0.38,0.363,0.367,0.369,0.357,0.354,0.398,0.389,0.365,0.373,0.366,0.366,0.363
1.740555556,0.395,0.385,0.393,0.389,0.392,0.41,0.407,0.398,0.392,0.405,0.397,0.381,0.391,0.363,0.386,0.394,0.399,0.388,0.39,0.366,0.367,0.387,0.374,0.383,0.377,0.367,0.382,0.364,0.367,0.37,0.358,0.354,0.399,0.39,0.366,0.372,0.366,0.366,0.364
1.915277778,0.395,0.385,0.393,0.389,0.392,0.411,0.407,0.397,0.393,0.404,0.397,0.381,0.391,0.362,0.386,0.395,0.399,0.388,0.39,0.366,0.367,0.387,0.374,0.384,0.377,0.368,0.381,0.364,0.367,0.37,0.357,0.355,0.399,0.391,0.366,0.373,0.366,0.366,0.364
2.09,0.396,0.385,0.394,0.39,0.393,0.412,0.406,0.397,0.394,0.406,0.397,0.382,0.392,0.363,0.387,0.395,0.4,0.389,0.391,0.366,0.367,0.388,0.375,0.384,0.378,0.369,0.382,0.366,0.368,0.371,0.358,0.355,0.4,0.392,0.367,0.375,0.367,0.367,0.366
2.264722222,0.396,0.386,0.395,0.391,0.394,0.412,0.407,0.398,0.395,0.406,0.398,0.383,0.393,0.364,0.388,0.396,0.4,0.389,0.393,0.367,0.368,0.388,0.375,0.385,0.379,0.37,0.382,0.366,0.369,0.372,0.359,0.356,0.401,0.392,0.368,0.374,0.367,0.367,0.365
2.439444444,0.397,0.387,0.395,0.391,0.394,0.413,0.407,0.399,0.395,0.406,0.399,0.383,0.394,0.364,0.387,0.397,0.4,0.39,0.394,0.368,0.369,0.389,0.376,0.385,0.378,0.37,0.382,0.366,0.369,0.372,0.359,0.355,0.401,0.394,0.369,0.375,0.367,0.367,0.366
2.614166667,0.398,0.388,0.396,0.392,0.395,0.415,0.407,0.399,0.397,0.407,0.399,0.384,0.395,0.365,0.388,0.397,0.4,0.391,0.395,0.368,0.37,0.39,0.377,0.387,0.379,0.371,0.383,0.368,0.37,0.372,0.359,0.357,0.401,0.394,0.369,0.375,0.368,0.367,0.367
2.788888889,0.399,0.389,0.398,0.394,0.396,0.415,0.408,0.399,0.398,0.409,0.401,0.385,0.396,0.365,0.389,0.399,0.402,0.392,0.395,0.368,0.372,0.391,0.378,0.388,0.379,0.372,0.385,0.368,0.372,0.374,0.361,0.357,0.403,0.396,0.371,0.377,0.369,0.368,0.368
2.963611111,0.399,0.39,0.398,0.394,0.397,0.417,0.408,0.399,0.4,0.41,0.402,0.386,0.396,0.365,0.389,0.399,0.402,0.393,0.397,0.369,0.374,0.392,0.38,0.389,0.38,0.372,0.386,0.371,0.373,0.375,0.362,0.359,0.403,0.396,0.372,0.378,0.371,0.369,0.369
3.138333333,0.4,0.391,0.399,0.395,0.4,0.418,0.408,0.399,0.4,0.412,0.403,0.387,0.397,0.367,0.389,0.4,0.404,0.394,0.398,0.37,0.375,0.394,0.381,0.39,0.38,0.374,0.386,0.372,0.374,0.377,0.363,0.36,0.405,0.397,0.372,0.379,0.372,0.369,0.37
3.313055556,0.404,0.394,0.403,0.398,0.401,0.422,0.41,0.399,0.403,0.414,0.406,0.39,0.399,0.369,0.391,0.403,0.406,0.396,0.4,0.372,0.377,0.397,0.384,0.392,0.382,0.377,0.389,0.375,0.377,0.379,0.366,0.361,0.407,0.399,0.375,0.381,0.374,0.371,0.372
3.487777778,0.405,0.395,0.404,0.4,0.403,0.424,0.411,0.4,0.404,0.416,0.408,0.392,0.4,0.37,0.392,0.404,0.408,0.398,0.402,0.373,0.38,0.399,0.386,0.395,0.383,0.379,0.392,0.377,0.379,0.381,0.368,0.363,0.408,0.401,0.377,0.384,0.376,0.373,0.375
3.6625,0.407,0.397,0.407,0.402,0.405,0.426,0.411,0.4,0.407,0.417,0.41,0.394,0.403,0.371,0.392,0.406,0.409,0.4,0.404,0.374,0.382,0.401,0.388,0.397,0.383,0.381,0.394,0.379,0.381,0.384,0.37,0.365,0.41,0.404,0.379,0.385,0.378,0.375,0.377
3.837222222,0.41,0.4,0.409,0.405,0.408,0.429,0.414,0.4,0.41,0.422,0.414,0.398,0.404,0.373,0.394,0.409,0.412,0.404,0.407,0.376,0.385,0.405,0.391,0.399,0.385,0.384,0.398,0.382,0.385,0.387,0.374,0.367,0.412,0.406,0.382,0.387,0.381,0.376,0.379
4.011944444,0.413,0.404,0.414,0.41,0.413,0.433,0.414,0.401,0.414,0.423,0.417,0.401,0.407,0.376,0.395,0.412,0.415,0.407,0.411,0.378,0.39,0.409,0.396,0.405,0.387,0.388,0.401,0.387,0.39,0.391,0.377,0.37,0.417,0.41,0.386,0.392,0.384,0.378,0.382
4.186666667,0.416,0.408,0.417,0.411,0.416,0.437,0.416,0.4,0.417,0.427,0.422,0.406,0.41,0.379,0.396,0.416,0.418,0.411,0.414,0.381,0.394,0.414,0.4,0.409,0.388,0.393,0.405,0.391,0.393,0.396,0.38,0.373,0.419,0.413,0.39,0.394,0.389,0.38,0.386
4.361388889,0.421,0.413,0.423,0.418,0.423,0.444,0.418,0.403,0.423,0.434,0.428,0.413,0.414,0.383,0.399,0.42,0.423,0.416,0.421,0.387,0.4,0.421,0.406,0.415,0.391,0.398,0.411,0.398,0.4,0.401,0.388,0.378,0.425,0.419,0.396,0.4,0.395,0.384,0.391
4.536111111,0.426,0.418,0.428,0.423,0.429,0.45,0.42,0.403,0.429,0.438,0.435,0.419,0.418,0.386,0.401,0.426,0.428,0.422,0.427,0.387,0.407,0.427,0.413,0.422,0.392,0.405,0.418,0.405,0.407,0.407,0.392,0.382,0.429,0.424,0.402,0.405,0.4,0.387,0.396
