Time_in_hr,A1,A2,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
0.168055556,0.441,0.392,0.39,0.385,0.381,0.387,0.394,0.381,0.393,0.388,0.389,0.401,0.423,0.368,0.391,0.395,0.38,0.362,0.361,0.361,0.441,0.368,0.378,0.366,0.36,0.38,0.322,0.364,0.374,0.352,0.351,0.465,0.462,0.369,0.404,0.371,0.357,0.362,0.356
0.342777778,0.442,0.392,0.39,0.387,0.384,0.391,0.394,0.386,0.392,0.387,0.389,0.405,0.399,0.368,0.391,0.393,0.38,0.366,0.362,0.362,0.432,0.367,0.378,0.371,0.36,0.379,0.312,0.364,0.374,0.352,0.352,0.466,0.418,0.369,0.36,0.371,0.357,0.362,0.357
0.5175,0.44,0.393,0.39,0.387,0.385,0.389,0.395,0.39,0.395,0.388,0.39,0.407,0.401,0.368,0.392,0.393,0.38,0.369,0.362,0.363,0.419,0.368,0.378,0.373,0.362,0.379,0.292,0.364,0.374,0.352,0.352,0.468,0.413,0.37,0.36,0.372,0.357,0.362,0.357
0.692222222,0.44,0.394,0.391,0.387,0.384,0.391,0.394,0.389,0.394,0.389,0.39,0.408,0.403,0.368,0.393,0.394,0.38,0.371,0.363,0.365,0.416,0.368,0.378,0.374,0.361,0.38,0.278,0.364,0.374,0.351,0.353,0.468,0.413,0.37,0.361,0.372,0.357,0.362,0.357
0.866944444,0.439,0.393,0.391,0.387,0.384,0.389,0.397,0.389,0.394,0.39,0.39,0.41,0.404,0.368,0.393,0.396,0.381,0.372,0.364,0.365,0.416,0.369,0.378,0.376,0.362,0.381,0.278,0.363,0.374,0.352,0.353,0.47,0.414,0.372,0.361,0.372,0.357,0.361,0.357
1.041666667,0.439,0.394,0.391,0.39,0.385,0.389,0.398,0.389,0.395,0.391,0.389,0.41,0.403,0.368,0.393,0.397,0.38,0.372,0.363,0.365,0.416,0.369,0.378,0.376,0.363,0.38,0.278,0.364,0.374,0.352,0.353,0.469,0.415,0.373,0.361,0.372,0.358,0.362,0.357
1.216388889,0.439,0.394,0.392,0.391,0.385,0.391,0.398,0.387,0.397,0.391,0.389,0.411,0.404,0.368,0.393,0.399,0.382,0.373,0.363,0.366,0.416,0.369,0.379,0.377,0.363,0.38,0.278,0.364,0.374,0.352,0.353,0.469,0.416,0.373,0.361,0.372,0.358,0.362,0.357
1.391111111,0.441,0.395,0.391,0.392,0.384,0.392,0.398,0.39,0.397,0.392,0.39,0.411,0.404,0.369,0.394,0.399,0.381,0.373,0.364,0.367,0.418,0.37,0.379,0.377,0.364,0.382,0.279,0.365,0.375,0.353,0.353,0.47,0.417,0.374,0.362,0.373,0.359,0.362,0.358
1.565833333,0.442,0.395,0.393,0.392,0.385,0.392,0.399,0.39,0.398,0.394,0.39,0.412,0.405,0.369,0.394,0.4,0.383,0.375,0.366,0.368,0.418,0.37,0.38,0.378,0.365,0.382,0.28,0.365,0.376,0.353,0.353,0.47,0.418,0.374,0.363,0.373,0.359,0.362,0.358
1.740555556,0.441,0.396,0.392,0.394,0.385,0.393,0.399,0.39,0.398,0.394,0.39,0.412,0.406,0.37,0.394,0.4,0.382,0.375,0.365,0.367,0.419,0.371,0.38,0.379,0.365,0.383,0.28,0.365,0.376,0.353,0.354,0.471,0.417,0.375,0.363,0.374,0.359,0.363,0.359
